date,shift,units_processed,labor_hours
2026-03-14,AM,2335,8.0
2026-03-14,PM,2848,8.5
2026-03-15,AM,2173,7.5
2026-03-15,PM,2308,7.5
2026-03-16,AM,2312,8.0
2026-03-16,PM,2298,7.5
2026-03-17,AM,2598,8.0
2026-03-17,PM,2762,8.5
2026-03-18,AM,2688,8.5
2026-03-18,PM,2568,8.0
2026-03-19,AM,2210,8.0
2026-03-19,PM,2423,7.5
2026-03-20,AM,2386,7.5
2026-03-20,PM,2599,8.5
2026-03-21,AM,2405,8.5
2026-03-21,PM,2175,8.0
2026-03-22,AM,2399,8.0
2026-03-22,PM,2425,8.0
2026-03-23,AM,2274,8.5
2026-03-23,PM,2128,7.5
2026-03-24,AM,2106,7.5
2026-03-24,PM,2732,8.5
2026-03-25,AM,2522,8.0
2026-03-25,PM,2476,7.5
2026-03-26,AM,2312,7.5
2026-03-26,PM,2679,8.5
2026-03-27,AM,2752,8.5
2026-03-27,PM,2692,8.5
2026-03-28,AM,2128,8.0
2026-03-28,PM,2679,8.5
2026-03-29,AM,2183,7.5
2026-03-29,PM,2590,8.5
2026-03-30,AM,2172,8.0
2026-03-30,PM,2211,8.0
2026-03-31,AM,2805,8.5
2026-03-31,PM,2300,8.0
